Category,Questions,Answers
Model,assumption linear regression assumption violated,four assumption associated linear regression linearity relationship mean linear homoscedasticity variance residual independence observation independent normality fixed normally distributed extreme violation assumption redundant violation assumption result greater bias variance estimate
Statistics,collinearity multicollinearity deal,collinearity linear association predictor multicollinearity situation predictor highly linearly problematic undermines statistical significance independent variable necessarily impact accuracy affect variance prediction reduces interpretation independent variable variance inflation factor vif determine multicollinearity independent variable standard benchmark vif greater multicollinearity exists
Model,drawback linear,couple drawback linear linear hold strong assumption true application assumes linear relationship multivariate normality multicollinearity auto correlation homoscedasticity linear discrete binary outcome vary flexibility linear
Model,ridge lasso regression difference,regularization method reduce overfitting least square minimizes sum squared residual result bias variance regularization called ridge regression minimizes sum squared residual plus lambda slope squared additional term called ridge regression penalty increase bias making fit worse decrease variance ridge regression penalty replace absolute slope lasso regression regularization le robust stable solution always solution robust unstable solution possibly multiple solution
Model,nearest neighbor,nearest neighbor classification technique sample classified looking nearest classified point hence nearest example above unclassified classified blue outlier overlook class few sample
Model,mean,elbow method popular method determine optimal essentially plot squared error graph axis squared error axis once graph distortion decline elbow
Model,naive bayes naive,naive bayes naive hold strong assumption assumed uncorrelated typically never
Model,vector svm,vector point touch boundary maximum margin
Model,pruning decision tree,pruning technique machine learning algorithm reduces decision tree removing section branch tree classifying instance
Model,random forest naive bayes,random forest ensemble learning technique build decision tree random forest involve creating multiple decision tree bootstrapped datasets original randomly selecting subset variable step decision tree selects mode prediction decision tree relying majority win reduces risk error individual tree random forest offer several benefit strong performance linear boundary cross validation needed give feature importance naive bayes sense easy train understand random forest seem therefore naive bayes algorithm implementation understanding performance random forest typically stronger ensemble technique
Model,random forest v svm,couple reason random forest choice algorithm vector machine random forest allow determine feature importance svm random forest quicker simpler build svm multi classification problem svms require v rest method le scalable memory intensive
Model,decision tree,asking question random forest decision tree answer random forest ensemble method take weak decision tree strong learner random forest accurate robust le prone overfitting
Model,difference adaboosted tree gradient boosted tree,adaboost boosted algorithm similar random forest couple significant difference rather forest tree adaboost typically make forest stump stump tree node leaf stump decision weighted equally final decision stump le error accuracy higher stump created important subsequent stump emphasizes importance sample incorrectly classified stump gradient boost similar adaboost sense build multiple tree tree built tree unlike adaboost build stump gradient boost build tree usually leaf importantly gradient differs adaboost decision tree built gradient boost start initial prediction usually average decision tree built residual sample prediction taking initial prediction learning outcome residual tree repeated
Statistics,bias variance tradeoff,bias estimator difference expected true bias tends oversimplified underfitting variance represents sensitivity noise variance overfitting therefore bias variance tradeoff machine learning model lower variance higher bias vice versa generally optimal balance error minimized
EDA,explain bootstrap sampling method give example,technically speaking bootstrap sampling method resampling method us random sampling replacement essential random forest algorithm ensemble learning algorithm
Methodology,difference bagging boosting,bagging known bootstrap aggregating multiple model learning algorithm trained bootstrapped sample original dataset random forest example above vote taken model output boosting variation bagging individual built sequentially iterating specifically point falsely classified emphasized done improve overall accuracy once built falsely classified predicted point taken addition bootstrapped sample train ensemble model against test dataset continues
Model,xgboost handle bias variance tradeoff,xgboost ensemble machine learning algorithm leverage gradient boosting algorithm essence xgboost bagging boosting technique steroid therefore xgboost handle bias variance similar boosting technique boosting ensemble meta algorithm reduces bias variance take weighted average weak model focusing weak prediction iterating model error thus bias reduced similarly take weighted average weak model final lower variance weaker model themselves
